trending_date,category,count
2017-12-31,People & Blogs,33
2017-12-31,Science & Technology,5
2017-12-31,Sports,16
2018-01-01,Autos & Vehicles,1
2018-01-01,Comedy,22
2018-01-01,Education,4
2018-01-01,Entertainment,47
2018-01-01,Film & Animation,16
2018-01-01,Gaming,8
2018-01-01,Howto & Style,15
2018-01-01,Music,17
2018-01-01,News & Politics,26
2018-01-01,People & Blogs,30
2018-01-01,Science & Technology,3
2018-01-01,Sports,11
2018-01-02,Autos & Vehicles,1
2018-01-02,Comedy,17
2018-01-02,Education,5
2018-01-02,Entertainment,46
2018-01-02,Film & Animation,13
2018-01-02,Gaming,5
2018-01-02,Howto & Style,10
2018-01-02,Music,16
2018-01-02,News & Politics,26
2018-01-02,People & Blogs,25
2018-01-02,Science & Technology,7
2018-01-02,Sports,26
2018-01-02,Travel & Events,1
2018-01-03,Autos & Vehicles,2
2018-01-03,Comedy,16
2018-01-03,Education,4
2018-01-03,Entertainment,43
2018-01-03,Film & Animation,10
2018-01-03,Gaming,7
2018-01-03,Howto & Style,19
2018-01-03,Music,20
2018-01-03,News & Politics,24
2018-01-03,People & Blogs,29
2018-01-03,Pets & Animals,3
2018-01-03,Science & Technology,6
2018-01-03,Shows,1
2018-01-03,Sports,14
2018-01-04,Autos & Vehicles,1
2018-01-04,Comedy,21
2018-01-04,Education,1
2018-01-04,Entertainment,45
2018-01-04,Film & Animation,8
2018-01-04,Gaming,9
2018-01-04,Howto & Style,11
2018-01-04,Music,18
2018-01-04,News & Politics,31
2018-01-04,People & Blogs,27
2018-01-04,Pets & Animals,2
2018-01-04,Science & Technology,5
2018-01-04,Shows,1
2018-01-04,Sports,17
2018-01-04,Travel & Events,1
2018-01-05,Autos & Vehicles,4
2018-01-05,Comedy,18
2018-01-05,Education,1
2018-01-05,Entertainment,44
2018-01-05,Film & Animation,7
2018-01-05,Gaming,9
2018-01-05,Howto & Style,16
2018-01-05,Music,16
2018-01-05,News & Politics,29
2018-01-05,People & Blogs,26
2018-01-05,Pets & Animals,1
2018-01-05,Science & Technology,5
