trending_month,category,cat_cnt,avg_comment_cnt,avg_likes_cnt,contry
18-02,Howto & Style,262,676.0076335877862,5487.244274809161,Germany
18-02,Music,297,8589.457912457912,111641.14478114479,Germany
18-02,News & Politics,373,1590.85254691689,7917.297587131367,Germany
18-02,Nonprofits & Activism,45,5778.622222222222,29120.088888888888,Germany
18-02,People & Blogs,805,1741.1714285714286,10927.327950310559,Germany
18-02,Pets & Animals,34,2881.676470588235,8908.264705882353,Germany
18-02,Science & Technology,189,7176.476190476191,23946.089947089946,Germany
18-02,Shows,9,181.44444444444446,1017.7777777777778,Germany
18-02,Sports,412,1699.4004854368932,12907.029126213592,Germany
18-02,Travel & Events,25,494.48,3825.2,Germany
18-03,Autos & Vehicles,176,614.6363636363636,5286.852272727273,Germany
18-03,Comedy,357,3566.798319327731,25484.901960784315,Germany
18-03,Education,131,928.2748091603054,8939.69465648855,Germany
18-03,Entertainment,2290,2170.5266375545852,16418.28427947598,Germany
